"","X","Organisms","Limb_width","Limb_length","Observer","Limb_volume"
"1",1,"Cyanocitta cristata",2.30258509299405,1.6094379124341,"William P.",3.70586774527022
"2",2,"Anas acuta",2.484906649788,2.83321334405622,"Cameron N.",7.0402706789134
"3",3,"Cyanocitta cristata",2.77258872223978,2.30258509299405,"William P.",6.38412146083274
"4",4,"Pica serica",2.56494935746154,2.56494935746154,"Elliot G.",6.57896520634237
"5",5,"Cyanocitta cristata",2.56494935746154,2.484906649788,"Elliot G.",6.37365971472564
"6",6,"Columba livia",1.6094379124341,2.30258509299405,"William P.",3.70586774527022
"7",7,"Columba livia",2.484906649788,2.484906649788,"William P.",6.17476105816062
"8",8,"Cyanocitta cristata",2.30258509299405,2.19722457733622,"William P.",5.05929655773453
"9",9,"Cyanocitta cristata",2.39789527279837,2.39789527279837,"Elliot G.",5.74990173930877
"10",10,"Anas acuta",2.63905732961526,1.38629436111989,"William P.",3.65851029471775
"11",11,"Anas acuta",1.79175946922805,2.30258509299405,"William P.",4.12567864407544
"12",12,"Pica serica",2.30258509299405,2.77258872223978,"Elliot G.",6.38412146083274
"13",13,"Anas acuta",2.07944154167984,2.39789527279837,"Elliot G.",4.98628304285464
"14",14,"Pica serica",2.63905732961526,2.56494935746154,"Cameron N.",6.76904840190083
"15",15,"Poecile atricapillus",2.30258509299405,2.30258509299405,"Cameron N.",5.30189811047842
"16",16,"Pica serica",1.94591014905531,2.19722457733622,"Elliot G.",4.27560160479231
"17",17,"Columba livia",2.39789527279837,1.6094379124341,"Cameron N.",3.85926356208821
"18",18,"Poecile atricapillus",2.39789527279837,1.79175946922805,"Cameron N.",4.29645156125366
"19",19,"Pica serica",2.39789527279837,2.484906649788,"Elliot G.",5.95854590887188
"20",20,"Columba livia",2.484906649788,2.30258509299405,"Cameron N.",5.72170900928363
"21",21,"Cyanocitta cristata",2.07944154167984,2.30258509299405,"Elliot G.",4.78809109562457
"22",22,"Columba livia",1.38629436111989,2.19722457733622,"William P.",3.04600004167524
"23",23,"Pica serica",2.56494935746154,2.07944154167984,"William P.",5.33366224621054
"24",24,"Cyanocitta cristata",2.484906649788,2.07944154167984,"Cameron N.",5.16721811476565
"25",25,"Columba livia",2.19722457733622,2.19722457733622,"Cameron N.",4.82779584325033
"26",26,"Pica serica",2.19722457733622,1.79175946922805,"Cameron N.",3.93689794246277
"27",27,"Anas acuta",2.39789527279837,2.63905732961526,"Cameron N.",6.32818309532832
"28",28,"Columba livia",2.39789527279837,2.484906649788,"Cameron N.",5.95854590887188
"29",29,"Poecile atricapillus",1.38629436111989,1.94591014905531,"William P.",2.69760426688134
"30",30,"Cyanocitta cristata",2.39789527279837,1.94591014905531,"William P.",4.6660887477101
"31",31,"Columba livia",1.6094379124341,2.39789527279837,"Elliot G.",3.85926356208821
"32",32,"Cyanocitta cristata",2.63905732961526,2.484906649788,"William P.",6.55781110753272
"33",33,"Poecile atricapillus",2.39789527279837,2.83321334405622,"Cameron N.",6.79374888454167
"34",34,"Cyanocitta cristata",2.30258509299405,2.19722457733622,"Elliot G.",5.05929655773453
"35",35,"Pica serica",1.94591014905531,2.39789527279837,"Cameron N.",4.6660887477101
"36",36,"Cyanocitta cristata",1.94591014905531,2.07944154167984,"Cameron N.",4.04640640032202
"37",37,"Pica serica",2.30258509299405,2.63905732961526,"William P.",6.07665406672878
"38",38,"Anas acuta",2.83321334405622,2.39789527279837,"Elliot G.",6.79374888454167
"39",39,"Pica serica",2.63905732961526,2.39789527279837,"Cameron N.",6.32818309532832
"40",40,"Pica serica",2.63905732961526,2.30258509299405,"Cameron N.",6.07665406672878
"41",41,"Pica serica",1.79175946922805,1.94591014905531,"Elliot G.",3.48660293583682
"42",42,"Anas acuta",2.30258509299405,2.30258509299405,"Cameron N.",5.30189811047842
"43",43,"Anas acuta",2.83321334405622,1.79175946922805,"Elliot G.",5.076436837556
"44",44,"Anas acuta",2.484906649788,2.77258872223978,"Cameron N.",6.88962415302084
"45",45,"Anas acuta",2.63905732961526,2.63905732961526,"William P.",6.96462358899603
"46",46,"Columba livia",2.19722457733622,1.94591014905531,"Elliot G.",4.27560160479231
"47",47,"Columba livia",1.94591014905531,2.484906649788,"Elliot G.",4.8354050692775
"48",48,"Columba livia",2.63905732961526,2.07944154167984,"Elliot G.",5.48776544207664
"49",49,"Columba livia",2.07944154167984,2.39789527279837,"Cameron N.",4.98628304285464
"50",50,"Columba livia",2.07944154167984,2.39789527279837,"Cameron N.",4.98628304285464
"51",51,"Cyanocitta cristata",2.19722457733622,2.63905732961526,"Elliot G.",5.79860162562994
"52",52,"Anas acuta",2.39789527279837,2.19722457733622,"William P.",5.26871442727092
"53",53,"Cyanocitta cristata",2.484906649788,2.07944154167984,"Cameron N.",5.16721811476565
"54",54,"Anas acuta",0.693147180559945,2.19722457733622,"Elliot G.",1.52300002083762
"55",55,"Poecile atricapillus",1.94591014905531,1.79175946922805,"William P.",3.48660293583682
"56",56,"Columba livia",1.94591014905531,2.70805020110221,"Elliot G.",5.26962237047606
"57",57,"Cyanocitta cristata",2.30258509299405,2.30258509299405,"Elliot G.",5.30189811047842
"58",58,"Columba livia",2.484906649788,2.30258509299405,"William P.",5.72170900928363
"59",59,"Pica serica",1.6094379124341,2.39789527279837,"Elliot G.",3.85926356208821
"60",60,"Anas acuta",1.94591014905531,2.19722457733622,"William P.",4.27560160479231
"61",61,"Pica serica",2.56494935746154,2.484906649788,"Cameron N.",6.37365971472564
"62",62,"Columba livia",2.39789527279837,2.30258509299405,"William P.",5.52135790970643
"63",63,"Columba livia",2.07944154167984,2.07944154167984,"William P.",4.32407712526383
"64",64,"Columba livia",2.77258872223978,2.39789527279837,"Cameron N.",6.64837739047284
"65",65,"Cyanocitta cristata",2.484906649788,2.19722457733622,"Elliot G.",5.4598979633004
"66",66,"Columba livia",2.484906649788,2.39789527279837,"William P.",5.95854590887188
"67",67,"Columba livia",2.70805020110221,2.30258509299405,"Elliot G.",6.23551602413749
"68",68,"Pica serica",2.07944154167984,2.19722457733622,"Cameron N.",4.56900006251286
"69",69,"Columba livia",1.6094379124341,2.30258509299405,"William P.",3.70586774527022
"70",70,"Cyanocitta cristata",2.56494935746154,2.19722457733622,"Cameron N.",5.63576976783724
"71",71,"Anas acuta",2.70805020110221,1.79175946922805,"William P.",4.85217459096981
"72",72,"Columba livia",2.30258509299405,2.56494935746154,"William P.",5.90601415477561
"73",73,"Columba livia",2.70805020110221,1.79175946922805,"Elliot G.",4.85217459096981
"74",74,"Poecile atricapillus",1.6094379124341,1.6094379124341,"Cameron N.",2.59029039398023
"75",75,"Columba livia",2.70805020110221,2.30258509299405,"Cameron N.",6.23551602413749
"76",76,"Anas acuta",2.07944154167984,2.19722457733622,"Cameron N.",4.56900006251286
"77",77,"Poecile atricapillus",2.63905732961526,1.6094379124341,"Cameron N.",4.2473989193699
"78",78,"Poecile atricapillus",2.30258509299405,1.6094379124341,"William P.",3.70586774527022
"79",79,"Anas acuta",2.30258509299405,1.09861228866811,"Elliot G.",2.52964827886727
"80",80,"Poecile atricapillus",2.56494935746154,2.19722457733622,"Elliot G.",5.63576976783724
"81",81,"Poecile atricapillus",1.94591014905531,2.39789527279837,"Cameron N.",4.6660887477101
"82",82,"Cyanocitta cristata",2.63905732961526,2.39789527279837,"Elliot G.",6.32818309532832
"83",83,"Pica serica",2.39789527279837,2.56494935746154,"William P.",6.15047993922424
"84",84,"Pica serica",2.19722457733622,2.56494935746154,"Cameron N.",5.63576976783724
"85",85,"Cyanocitta cristata",2.19722457733622,2.484906649788,"Cameron N.",5.4598979633004
"86",86,"Cyanocitta cristata",1.94591014905531,2.484906649788,"William P.",4.8354050692775
"87",87,"Columba livia",1.94591014905531,2.19722457733622,"Cameron N.",4.27560160479231
"88",88,"Columba livia",2.56494935746154,1.94591014905531,"Cameron N.",4.99116098649731
"89",89,"Columba livia",2.89037175789616,2.484906649788,"Elliot G.",7.1823040015556
"90",90,"Columba livia",2.07944154167984,1.6094379124341,"Cameron N.",3.34673205386995
"91",91,"Anas acuta",2.07944154167984,2.30258509299405,"William P.",4.78809109562457
"92",92,"Columba livia",2.30258509299405,2.39789527279837,"Cameron N.",5.52135790970643
"93",93,"Poecile atricapillus",1.79175946922805,1.79175946922805,"Cameron N.",3.21040199556838
"94",94,"Anas acuta",2.19722457733622,2.39789527279837,"Cameron N.",5.26871442727092
"95",95,"Pica serica",2.39789527279837,2.39789527279837,"Elliot G.",5.74990173930877
"96",96,"Poecile atricapillus",2.19722457733622,2.83321334405622,"Cameron N.",6.22520599239727
"97",97,"Anas acuta",2.39789527279837,2.39789527279837,"Elliot G.",5.74990173930877
"98",98,"Cyanocitta cristata",2.70805020110221,2.484906649788,"William P.",6.72925195267861
"99",99,"Anas acuta",2.56494935746154,2.07944154167984,"Cameron N.",5.33366224621054
"100",100,"Poecile atricapillus",2.19722457733622,2.77258872223978,"Cameron N.",6.09200008335047
